id;message;type;creation_date;notifier_id;notifying_id
1;Rústico Sección;FOLLOW;2023-07-26T12:52:41;1;1
2;Metal USB CSS;LIKE_IMAGE;2023-07-26T14:12:25;2;2
3;copying viral Ejecutivo;LIKE_COMMENTARY;2023-07-26T14:10:53;1;2
4;Atún bluetooth Yen;LIKE_IMAGE;2023-07-27T07:48:38;1;2
5;calculate partnerships Versatil;COMMENTARY;2023-07-26T09:04:59;1;2
6;solutions;LIKE_IMAGE;2023-07-27T06:26:07;2;1
7;funcionalidad;LIKE_COMMENTARY;2023-07-26T22:35:17;2;1
8;generación Hormigon payment;FOLLOW;2023-07-26T20:51:02;2;2
9;paralelismo deposit Berkshire;COMMENTARY;2023-07-27T01:46:01;2;1
10;schemas;COMMENTARY;2023-07-26T09:10:44;1;2
