id;state;creation_date;acceptance_date;follower_id;following_id
1;PENDING;2023-07-27T07:47:16;2023-07-26T13:32:43;1;1
2;ACCEPTED;2023-07-27T02:21:48;2023-07-26T12:12:32;2;2
3;REJECTED;2023-07-26T20:32:19;2023-07-27T05:48:00;1;2
4;REJECTED;2023-07-26T20:02:03;2023-07-26T11:35:02;1;2
5;PENDING;2023-07-26T17:39:28;2023-07-27T04:20:59;2;1
6;REJECTED;2023-07-27T06:09:40;2023-07-27T04:50:50;2;1
7;PENDING;2023-07-27T07:36:30;2023-07-26T21:43:43;1;1
8;REJECTED;2023-07-26T09:57:56;2023-07-26T11:28:25;2;1
9;ACCEPTED;2023-07-26T21:10:35;2023-07-27T02:38:22;1;1
10;REJECTED;2023-07-27T06:25:52;2023-07-27T02:25:14;1;2
